,title,rating,run time,year,genre,Director,Score
300,The Grinch,PG,1H:25M,2018,Animation,Yarrow Cheney,6.4
301,Scrooged,PG-13,1H:41M,1988,Comedy,Richard Donner,7.0
302,The Polar Express,G,1H:40M,2004,Animation,Robert Zemeckis,6.6
303,The Hand of God,R,2H:10M,2021,Drama,Paolo Sorrentino,7.5
304,The Tragedy of Macbeth,R,1H:45M,2021,Drama,Joel Coen,7.6
305,Eternals,PG-13,2H:36M,2021,Action,Chloé Zhao,6.8
306,Avengers: Endgame,PG-13,3H:1M,2019,Action,Anthony Russo,8.4
307,Ron's Gone Wrong,PG,1H:47M,2021,Animation,Sarah Smith,7.1
308,Klaus,PG,1H:36M,2019,Animation,Sergio Pablos,8.2
309,The Holiday,PG-13,2H:16M,2006,Comedy,Nancy Meyers,6.9
311,Last Train to Christmas,Not Rated,1H:50M,2021,Comedy,Julian Kemp,6.0
312,Last Christmas,PG-13,1H:43M,2019,Comedy,Paul Feig,6.5
313,The Sound of Music,G,2H:52M,1965,Biography,Robert Wise,8.0
314,Spider-Man: Into the Spider-Verse,PG,1H:57M,2018,Animation,Bob Persichetti,8.4
315,Red Notice,PG-13,1H:58M,2021,Action,Rawson Marshall Thurber,6.4
316,Harry Potter and the Sorcerer's Stone,PG,2H:32M,2001,Adventure,Chris Columbus,7.6
317,Sing,PG,1H:48M,2016,Animation,Garth Jennings,7.1
318,Single All the Way,TV-PG,1H:39M,2021,Comedy,Michael Mayer,6.2
319,Mother/Android,R,1H:50M,2021,Drama,Mattson Tomlin,4.5
321,American Underdog,PG,1H:52M,2021,Biography,Andrew Erwin,7.6
322,Ghostbusters: Afterlife,PG-13,2H:4M,2021,Adventure,Jason Reitman,7.6
324,Love Hard,TV-MA,1H:44M,2021,Comedy,Hernan Jimenez,6.3
325,8-Bit Christmas,PG,1H:37M,2021,Comedy,Michael Dowse,6.7
326,Atrangi Re,Not Rated,2H:18M,2021,Comedy,Himanshu Sharma,7.0
327,Jingle All the Way,PG,1H:29M,1996,Adventure,Brian Levant,5.7
328,Black Widow,PG-13,2H:14M,2021,Action,Cate Shortland,6.7
329,Free Guy,PG-13,1H:55M,2021,Action,Shawn Levy,7.2
331,Rumble,PG,1H:44M,2021,Animation,Hamish Grieve,5.8
332,The Santa Clause 2,G,1H:44M,2002,Comedy,Michael Lembeck,5.7
333,The Christmas Chronicles,PG,1H:44M,2018,Adventure,Clay Kaytis,7.0
334,Antlers,R,1H:39M,2021,Drama,Scott Cooper,6.0
335,Back to the Outback,G,1H:35M,2021,Animation,Harry Cripps,6.6
336,Home Sweet Home Alone,PG,1H:33M,2021,Action,Dan Mazer,3.6
337,Wrath of Man,R,1H:59M,2021,Action,Guy Ritchie,7.1
338,Last Night in Soho,R,1H:56M,2021,Drama,Edgar Wright,7.2
339,The Shawshank Redemption,R,2H:22M,1994,Drama,Frank Darabont,9.3
340,The Muppet Christmas Carol,G,1H:25M,1992,Comedy,Brian Henson,7.7
341,A Christmas Carol,PG,1H:36M,2009,Animation,Robert Zemeckis,6.8
342,Silent Night,Not Rated,1H:32M,2021,Drama,Camille Griffin,5.7
343,Office Christmas Party,R,1H:45M,2016,Comedy,Josh Gordon,5.9
344,C'mon C'mon,R,1H:49M,2021,Drama,Mike Mills,7.8
345,The Suicide Squad,R,2H:12M,2021,Action,James Gunn,7.3
347,Four Christmases,PG-13,1H:28M,2008,Comedy,Seth Gordon,5.7
348,Krampus,PG-13,1H:38M,2015,Comedy,Michael Dougherty,6.2
349,The Novice,R,1H:34M,2021,Thriller,Lauren Hadaway,6.4
0,Spider-Man: No Way Home,PG-13,2H:28M,2021,Action,Jon Watts,8.9
2,Spider-Man: Homecoming,PG-13,2H:13M,2017,Action,Jon Watts,8.9
3,Spider-Man: Far from Home,PG-13,2H:9M,2019,Action,Jon Watts,8.9
4,Spider-Man 3,PG-13,2H:19M,2007,Action,Sam Raimi,8.9
5,Shang-Chi and the Legend of the Ten Rings,PG-13,2H:12M,2021,Action,Destin Daniel Cretton,8.9
